State,SA3 code,SA3 name,Remoteness/ socioeconomic status (SES),Per cent of patients with GP costs (%),25th percentile ($),50th percentile (Median) ($),75th percentile ($),90th percentile ($)
NSW,12501,Auburn,Major cities - lower SES,4.6,4,9,19,33
NSW,11901,Bankstown,Major cities - lower SES,9.5,5,10,20,31
NSW,11501,Baulkham Hills,Major cities - higher SES,27.3,7,16,28,40
NSW,11601,Blacktown,Major cities - lower SES,5.6,4,9,19,33
NSW,11602,Blacktown - North,Major cities - higher SES,9.6,5,10,20,33
NSW,11701,Botany,Major cities - lower SES,19.0,7,15,29,43
NSW,12701,Bringelly - Green Valley,Major cities - lower SES,6.0,5,10,19,29
NSW,12301,Camden,Major cities - medium SES,19.8,6,13,22,31
NSW,12302,Campbelltown (NSW),Major cities - lower SES,5.6,4,10,18,28
NSW,12001,Canada Bay,Major cities - higher SES,25.6,7,14,28,41
NSW,11902,Canterbury,Major cities - lower SES,6.7,5,11,23,38
NSW,12502,Carlingford,Major cities - medium SES,15.9,7,15,28,41
NSW,12101,Chatswood - Lane Cove,Major cities - higher SES,43.8,13,25,38,48
NSW,12801,Cronulla - Miranda - Caringbah,Major cities - higher SES,31.7,8,17,28,38
NSW,11502,Dural - Wisemans Ferry,Major cities - higher SES,34.1,8,17,27,38
NSW,11801,Eastern Suburbs - North,Major cities - higher SES,54.3,15,29,45,60
NSW,11802,Eastern Suburbs - South,Major cities - higher SES,32.1,11,22,38,50
NSW,12702,Fairfield,Major cities - lower SES,4.7,3,7,15,24
NSW,11503,Hawkesbury,Inner regional,27.6,7,14,23,32
NSW,12102,Hornsby,Major cities - higher SES,33.8,9,17,28,38
NSW,11903,Hurstville,Major cities - medium SES,19.4,6,13,23,35
NSW,11904,Kogarah - Rockdale,Major cities - medium SES,14.8,5,11,21,34
NSW,12103,Ku-ring-gai,Major cities - higher SES,51.7,14,26,38,48
NSW,12002,Leichhardt,Major cities - higher SES,45.7,13,25,40,48
NSW,12703,Liverpool,Major cities - lower SES,6.6,4,9,17,28
NSW,12201,Manly,Major cities - higher SES,61.0,14,26,38,49
NSW,11702,Marrickville - Sydenham - Petersham,Major cities - medium SES,28.9,10,21,34,43
NSW,12503,Merrylands - Guildford,Major cities - lower SES,4.7,4,8,16,28
NSW,11603,Mount Druitt,Major cities - lower SES,2.6,3,5,11,24
NSW,12104,North Sydney - Mosman,Major cities - higher SES,67.7,17,33,48,57
NSW,12504,Parramatta,Major cities - medium SES,9.5,5,11,23,36
NSW,12601,Pennant Hills - Epping,Major cities - higher SES,31.4,9,18,30,39
NSW,12403,Penrith,Major cities - medium SES,10.3,5,11,19,30
NSW,12202,Pittwater,Major cities - higher SES,60.8,14,25,38,48
NSW,12404,Richmond - Windsor,Major cities - medium SES,24.1,6,13,22,30
NSW,11504,Rouse Hill - McGraths Hill,Major cities - higher SES,18.0,6,12,22,33
NSW,12602,Ryde - Hunters Hill,Major cities - higher SES,27.3,9,20,35,47
NSW,12405,St Marys,Major cities - medium SES,3.4,3,7,15,28
NSW,12003,Strathfield - Burwood - Ashfield,Major cities - medium SES,15.6,8,19,33,43
NSW,12802,Sutherland - Menai - Heathcote,Major cities - higher SES,33.5,7,14,24,33
NSW,11703,Sydney Inner City,Major cities - higher SES,39.1,11,24,38,49
NSW,12203,Warringah,Major cities - higher SES,46.9,11,21,34,43
NSW,12303,Wollondilly,Inner regional,14.6,6,13,23,33
