State,SA3 code,SA3 name,Remoteness/ socioeconomic status (SES),Per cent of patients with costs (%),25th percentile ($),50th percentile (Median) ($),75th percentile ($),90th percentile ($),Average no. of services per patient(b),Average out-of-pocket cost per patient ($)(b),Average Medicare benefits expenditure per patient ($)(b),Service type,Per cent of patients with GP costs (%),Per cent of patients with specialist costs (%),Per cent of patients with obstetric costs (%),25th percentile ($).1,50th percentile (Median) ($).1,75th percentile ($).1,90th percentile ($).1
NSW,12501,Auburn,Major cities - lower SES,23.3,77,152,296,565,16.5,73.0,837.0,Total Medicare services,,,,,,,
NSW,11901,Bankstown,Major cities - lower SES,32.2,75,152,302,566,18.3,93.0,967.0,Total Medicare services,,,,,,,
NSW,11501,Baulkham Hills,Major cities - higher SES,50.5,80,178,384,708,16.6,171.0,910.0,Total Medicare services,,,,,,,
NSW,11601,Blacktown,Major cities - lower SES,27.7,77,151,290,523,18.5,76.0,972.0,Total Medicare services,,,,,,,
NSW,11602,Blacktown - North,Major cities - higher SES,34.8,82,167,323,601,17.1,112.0,897.0,Total Medicare services,,,,,,,
NSW,11701,Botany,Major cities - lower SES,40.8,71,168,360,682,16.7,144.0,892.0,Total Medicare services,,,,,,,
NSW,12701,Bringelly - Green Valley,Major cities - lower SES,30.1,83,160,303,538,17.0,86.0,872.0,Total Medicare services,,,,,,,
NSW,12301,Camden,Major cities - medium SES,44.7,73,158,322,581,16.5,127.0,873.0,Total Medicare services,,,,,,,
NSW,12302,Campbelltown (NSW),Major cities - lower SES,29.0,81,157,291,509,18.0,74.0,941.0,Total Medicare services,,,,,,,
NSW,12001,Canada Bay,Major cities - higher SES,51.9,75,186,418,805,17.8,207.0,991.0,Total Medicare services,,,,,,,
NSW,11902,Canterbury,Major cities - lower SES,28.8,80,161,314,596,18.3,89.0,968.0,Total Medicare services,,,,,,,
NSW,12502,Carlingford,Major cities - medium SES,38.8,82,177,374,705,16.8,134.0,913.0,Total Medicare services,,,,,,,
NSW,12101,Chatswood - Lane Cove,Major cities - higher SES,60.1,82,213,487,932,15.3,262.0,862.0,Total Medicare services,,,,,,,
NSW,12801,Cronulla - Miranda - Caringbah,Major cities - higher SES,57.6,84,194,410,741,17.8,206.0,976.0,Total Medicare services,,,,,,,
NSW,11502,Dural - Wisemans Ferry,Major cities - higher SES,58.5,80,187,407,748,17.2,199.0,963.0,Total Medicare services,,,,,,,
